key,link,n_visit,study_interval,is_current,is_retired,last_score,last_visit,last_session,box_id,easiness,n_scores
de,https://www.woorden.org/woord/de,0,0,True,False,0,2023-03-20 02:00:11.677698,J,HJCG,2.5,"{'s0': 1, 's1': 4, 's2': 1, 's3': 3, 's4': 3, 's5': 2}"
het,https://www.woorden.org/woord/het,0,0,True,False,0,2023-03-20 02:00:11.677698,J,GIBF,2.5,"{'s0': 0, 's1': 2, 's2': 4, 's3': 0, 's4': 0, 's5': 1}"
van,https://www.woorden.org/woord/van,0,0,True,False,0,2023-03-20 02:00:11.677698,J,HJCG,2.5,"{'s0': 3, 's1': 1, 's2': 3, 's3': 3, 's4': 1, 's5': 1}"
een,https://www.woorden.org/woord/een,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 4, 's1': 3, 's2': 1, 's3': 2, 's4': 3, 's5': 3}"
in,https://www.woorden.org/woord/in,0,0,True,False,0,2023-03-20 02:00:11.677698,J,CEHB,2.5,"{'s0': 3, 's1': 0, 's2': 1, 's3': 4, 's4': 1, 's5': 2}"
en,https://www.woorden.org/woord/en,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 1, 's1': 1, 's2': 2, 's3': 1, 's4': 0, 's5': 0}"
dat,https://www.woorden.org/woord/dat,0,0,True,False,0,2023-03-20 02:00:11.677698,J,EGJD,2.5,"{'s0': 1, 's1': 3, 's2': 0, 's3': 1, 's4': 0, 's5': 4}"
is,https://www.woorden.org/woord/is,0,0,True,False,0,2023-03-20 02:00:11.677698,J,DFIC,2.5,"{'s0': 2, 's1': 1, 's2': 4, 's3': 1, 's4': 3, 's5': 0}"
op,https://www.woorden.org/woord/op,0,0,True,False,0,2023-03-20 02:00:11.677698,J,EGJD,2.5,"{'s0': 4, 's1': 4, 's2': 2, 's3': 0, 's4': 2, 's5': 3}"
zijn,https://www.woorden.org/woord/zijn,0,0,True,False,0,2023-03-20 02:00:11.677698,J,BDGA,2.5,"{'s0': 1, 's1': 1, 's2': 3, 's3': 1, 's4': 2, 's5': 3}"
te,https://www.woorden.org/woord/te,0,0,True,False,0,2023-03-20 02:00:11.677698,J,FHAE,2.5,"{'s0': 3, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 2}"
voor,https://www.woorden.org/woord/voor,0,0,True,False,0,2023-03-20 02:00:11.677698,J,DFIC,2.5,"{'s0': 1, 's1': 0, 's2': 1, 's3': 4, 's4': 4, 's5': 0}"
met,https://www.woorden.org/woord/met,0,0,True,False,0,2023-03-20 02:00:11.677698,J,IADH,2.5,"{'s0': 0, 's1': 4, 's2': 0, 's3': 2, 's4': 1, 's5': 1}"
die,https://www.woorden.org/woord/die,0,0,True,False,0,2023-03-20 02:00:11.677698,J,HJCG,2.5,"{'s0': 1, 's1': 1, 's2': 3, 's3': 4, 's4': 4, 's5': 3}"
niet,https://www.woorden.org/woord/niet,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 4, 's1': 4, 's2': 3, 's3': 1, 's4': 0, 's5': 2}"
er,https://www.woorden.org/woord/er,0,0,True,False,0,2023-03-20 02:00:11.677698,J,DFIC,2.5,"{'s0': 2, 's1': 4, 's2': 1, 's3': 2, 's4': 3, 's5': 2}"
om,https://www.woorden.org/woord/om,0,0,True,False,0,2023-03-20 02:00:11.677698,J,CEHB,2.5,"{'s0': 2, 's1': 1, 's2': 0, 's3': 4, 's4': 1, 's5': 0}"
hij,https://www.woorden.org/woord/hij,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 0, 's1': 1, 's2': 3, 's3': 1, 's4': 2, 's5': 3}"
ook,https://www.woorden.org/woord/ook,0,0,True,False,0,2023-03-20 02:00:11.677698,J,BDGA,2.5,"{'s0': 2, 's1': 4, 's2': 2, 's3': 1, 's4': 0, 's5': 4}"
aan,https://www.woorden.org/woord/aan,0,0,True,False,0,2023-03-20 02:00:11.677698,J,FHAE,2.5,"{'s0': 0, 's1': 2, 's2': 1, 's3': 1, 's4': 1, 's5': 1}"
bij,https://www.woorden.org/woord/bij,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 3, 's1': 3, 's2': 4, 's3': 4, 's4': 3, 's5': 0}"
ze,https://www.woorden.org/woord/ze,0,0,True,False,0,2023-03-20 02:00:11.677698,J,DFIC,2.5,"{'s0': 0, 's1': 2, 's2': 4, 's3': 4, 's4': 1, 's5': 0}"
maar,https://www.woorden.org/woord/maar,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 2, 's1': 2, 's2': 2, 's3': 3, 's4': 3, 's5': 2}"
heeft,https://www.woorden.org/woord/heeft,0,0,True,False,0,2023-03-20 02:00:11.677698,J,BDGA,2.5,"{'s0': 1, 's1': 2, 's2': 2, 's3': 4, 's4': 1, 's5': 0}"
als,https://www.woorden.org/woord/als,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 2, 's1': 1, 's2': 3, 's3': 4, 's4': 3, 's5': 2}"
naar,https://www.woorden.org/woord/naar,0,0,True,False,0,2023-03-20 02:00:11.677698,J,IADH,2.5,"{'s0': 4, 's1': 0, 's2': 2, 's3': 0, 's4': 2, 's5': 0}"
door,https://www.woorden.org/woord/door,0,0,True,False,0,2023-03-20 02:00:11.677698,J,IADH,2.5,"{'s0': 3, 's1': 2, 's2': 3, 's3': 4, 's4': 1, 's5': 4}"
was,https://www.woorden.org/woord/was,0,0,True,False,0,2023-03-20 02:00:11.677698,J,EGJD,2.5,"{'s0': 4, 's1': 3, 's2': 1, 's3': 4, 's4': 3, 's5': 1}"
over,https://www.woorden.org/woord/over,0,0,True,False,0,2023-03-20 02:00:11.677698,J,BDGA,2.5,"{'s0': 4, 's1': 3, 's2': 2, 's3': 1, 's4': 2, 's5': 4}"
uit,https://www.woorden.org/woord/uit,0,0,True,False,0,2023-03-20 02:00:11.677698,J,IADH,2.5,"{'s0': 4, 's1': 3, 's2': 3, 's3': 4, 's4': 0, 's5': 0}"
nog,https://www.woorden.org/woord/nog,0,0,True,False,0,2023-03-20 02:00:11.677698,J,ACFJ,2.5,"{'s0': 4, 's1': 4, 's2': 1, 's3': 3, 's4': 1, 's5': 2}"
worden,https://www.woorden.org/woord/worden,0,0,True,False,0,2023-03-20 02:00:11.677698,J,GIBF,2.5,"{'s0': 3, 's1': 4, 's2': 1, 's3': 4, 's4': 4, 's5': 4}"
hebben,https://www.woorden.org/woord/hebben,0,0,True,False,0,2023-03-20 02:00:11.677698,J,JBEI,2.5,"{'s0': 2, 's1': 1, 's2': 2, 's3': 1, 's4': 4, 's5': 0}"
jaar,https://www.woorden.org/woord/jaar,0,0,True,False,0,2023-03-20 02:00:11.677698,J,GIBF,2.5,"{'s0': 2, 's1': 2, 's2': 0, 's3': 3, 's4': 2, 's5': 1}"
