string,count
de,4325094
het,2018459
van,1905087
een,1568353
in,1566942
en,1170966
dat,1073303
is,918625
op,753944
zijn,678301
te,656658
voor,553692
met,539699
die,531980
niet,475958
er,456658
om,416656
hij,382800
ook,371856
aan,356922
bij,316143
ze,313336
maar,304054
heeft,298049
als,271390
naar,258872
door,253678
was,238533
over,238244
uit,233087
nog,226822
worden,221977
hebben,213626
jaar,211877
meer,205818
volgens,200265
wordt,196036
zegt,192050
mensen,178285
dan,174009
werd,172417
of,167585
al,165101
tot,152225
veel,139569
we,139013
geen,138159
nu,133780
zich,128840
je,127924
ik,126503
dit,123984
tegen,122912
hun,121214
onder,119089
wel,118221
kunnen,117275
twee,112365
na,111371
gaat,108945
kan,107244
moet,101962
zou,100366
zo,98197
politie,94841
deze,94556
andere,93475
daar,93163
nederland,90519
omdat,89201
moeten,88418
wat,88024
gaan,87315
haar,85755
had,85705
wil,85457
zei,80789
waren,78149
nieuwe,77954
waar,76895
procent,74309
euro,72972
toen,72543
komen,71520
staat,69200
weer,67766
maken,64022
man,63964
hem,63505
werden,63394
alle,61629
onderzoek,61329
grote,61318
land,61207
komt,60692
eerste,59660
vandaag,58687
afgelopen,58414
aantal,57907
alleen,57746
tussen,57547
minister,57107
week,56082
zal,55139
drie,54891
tijd,53896
doen,53845
nederlandse,52889
goed,52079
zien,51937
president,51858
miljoen,51783
eerder,50917
hoe,50439
zij,50403
krijgen,49896
uur,48242
willen,47925
amerikaanse,45738
sinds,44496
mogelijk,44235
tweede,44229
af,43932
vooral,43598
dus,43396
heel,42949
jaren,42584
tijdens,42341
verder,42168
bekend,41869
geld,41482
kwam,41173
minder,41090
steeds,40964
vorig,40902
zeggen,40886
zelf,40716
mee,40580
dag,39591
kinderen,39407
leven,38506
laten,38425
per,38306
zoals,38195
toe,38030
vindt,36782
zouden,36747
landen,36404
keer,36172
weten,36012
gisteren,36011
toch,35749
bedrijf,35643
staan,35611
hier,35420
europese,35049
binnen,34701
ministerie,34411
kabinet,34367
dagen,34181
kamer,33999
zaken,33870
auto,33531
regering,33397
vrouw,33079
eigen,32876
vanwege,32852
rond,32840
huis,32829
stad,32641
bijna,32588
vier,32371
ruim,32220
later,32137
bijvoorbeeld,32114
ging,32113
via,31924
premier,31793
hadden,31716
geleden,31496
groot,31451
vorige,31405
partij,31255
weg,30818
wie,30741
deel,30623
iets,30494
laatste,30395
houden,30372
zeker,30308
terug,30204
elkaar,30043
ons,29987
gemaakt,29939
blijven,29552
nodig,29257
woordvoerder,29044
maanden,28936
duidelijk,28779
snel,28347
daarom,28139
den,27833
zullen,27770
altijd,27503
eerst,27466
maand,27378
vinden,26865
vijf,26822
zitten,26567
vaak,26430
moment,26385
hen,26148
schrijft,26140
bedrijven,26134
weken,26047
mijn,25814
niets,25794
zonder,25792
zaak,25756
samen,25661
werk,25649
amsterdam,25577
kreeg,25467
blijkt,25174
extra,25066
wij,24583
verschillende,24579
gedaan,24568
geven,24559
kwamen,24516
hele,24160
gemeente,24047
media,24028
eens,23967
trump,23952
gevonden,23908
ziekenhuis,23808
der,23802
enkele,23789
problemen,23752
inmiddels,23611
zit,23609
daarna,23549
rechter,23527
vanaf,23362
begin,23356
blijft,23322
miljard,23152
geweest,23121
ligt,23015
laat,22894
werken,22827
nemen,22815
nos,22747
vrouwen,22674
onze,22619
partijen,22616
rusland,22613
net,22509
daarbij,22460
meldt,22448
lang,22408
echt,22251
heb,22243
grootste,22151
groep,22139
kon,22009
wilde,21931
weinig,21901
komende,21813
achter,21555
eind,21477
slachtoffers,21417
want,21281
mannen,21236
maakt,21186
mogen,21116
mag,21107
paar,20824
buiten,20794
krijgt,20571
nadat,20571
britse,20400
tien,20263
daarmee,20244
doet,20200
plaats,20194
iedereen,20181
waarin,20176
nooit,19970
europa,19968
verwacht,19896
russische,19865
ten,19533
openbaar,19479
gebruikt,19475
brand,19467
pas,19430
maatregelen,19387
vraag,19358
aldus,19331
vs,19314
gebied,19209
buitenlandse,19191
zorgen,19168
rutte,19165
voorkomen,19124
overheid,19088
alles,19079
maakte,19000
vanuit,18983
opnieuw,18920
daardoor,18820
beter,18789
verkiezingen,18756
ongeveer,18737
duitse,18614
wereld,18598
duitsland,18581
justitie,18575
iemand,18319
water,18319
zes,18299
organisatie,18232
vragen,18222
lijkt,18189
juist,18040
dood,18008
situatie,17995
gevallen,17923
the,17819
plan,17805
zelfs,17741
noemt,17637
waarschijnlijk,17636
anders,17604
china,17580
moest,17538
ter,17518
informatie,17471
manier,17455
ziet,17132
gezien,16963
stond,16917
genomen,16893
wet,16878
leger,16872
betalen,16798
meeste,16774
terwijl,16760
ben,16732
kans,16687
gekomen,16630
gebracht,16572
burgemeester,16522
rechtbank,16516
opgepakt,16514
agenten,16358
politieke,16337
sommige,16325
ouders,16214
veiligheid,16142
haag,16124
uiteindelijk,16101
familie,16085
foto,16053
gezegd,15966
militairen,15894
verenigde,15879
goede,15833
helemaal,15823
staten,15731
bleek,15721
rotterdam,15648
geval,15647
nieuws,15551
commissie,15477
geweld,15469
totaal,15462
gemeenten,15457
langer,15431
waardoor,15422
denkt,15418
gehouden,15373
vast,15363
druk,15337
morgen,15323
hoge,15242
doden,15069
genoeg,15064
sociale,15062
aanslag,15047
franse,15031
waarbij,14928
liggen,14912
vertelt,14877
gewond,14871
daarvoor,14825
kilometer,14768
gewoon,14736
tientallen,14663
kijken,14646
hulp,14629
stemmen,14605
verdachte,14544
raad,14494
jongeren,14493
omroep,14486
nieuw,14470
allemaal,14424
meerdere,14416
deed,14415
bank,14399
aangehouden,14393
voorzitter,14385
boven,14372
internationale,14325
turkije,14315
betrokken,14284
rol,14240
vanochtend,14176
politiek,14121
erg,14039
zetten,13979
open,13969
leden,13945
gebruik,13905
konden,13889
gekregen,13830
brengen,13818
kort,13809
vvd,13801
autoriteiten,13792
even,13750
daarnaast,13743
weet,13700
straat,13678
zorg,13626
maart,13544
medewerkers,13524
actie,13487
parlement,13457
regio,13451
hoofdstad,13432
belangrijk,13400
nederlanders,13392
januari,13342
